time,epochs,messages,response,label
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'heatmap from 3d coordinates\'] and the source code is [\'public Point3d[] get3DCoordinatesForSP3Ligands(IAtom refAtom, IAtomContainer noCoords, IAtomContainer withCoords,\\n            IAtom atomC, int nwanted, double length, double angle) {\\n        //logger.debug(""SP3 Ligands start "");\\n        Point3d newPoints[] = new Point3d[0];\\n        Point3d aPoint = refAtom.getPoint3d();\\n        int nwithCoords = withCoords.getAtomCount();\\n        if (angle < 0) {\\n            angle = TETRAHEDRAL_ANGLE;\\n        }\\n        if (nwithCoords == 0) {\\n            newPoints = calculate3DCoordinates0(refAtom.getPoint3d(), nwanted, length);\\n        } else if (nwithCoords == 1) {\\n            newPoints = calculate3DCoordinates1(aPoint, (withCoords.getAtom(0)).getPoint3d(),\\n                    (atomC != null) ? atomC.getPoint3d() : null, nwanted, length, angle);\\n        } else if (nwithCoords == 2) {\\n            Point3d bPoint = withCoords.getAtom(0).getPoint3d();\\n            Point3d cPoint = withCoords.getAtom(1).getPoint3d();\\n            newPoints = calculate3DCoordinates2(aPoint, bPoint, cPoint, nwanted, length, angle);\\n        } else if (nwithCoords == 3) {\\n            Point3d bPoint = withCoords.getAtom(0).getPoint3d();\\n            Point3d cPoint = withCoords.getAtom(1).getPoint3d();\\n            newPoints = new Point3d[1];\\n            Point3d dPoint = withCoords.getAtom(2).getPoint3d();\\n            newPoints[0] = calculate3DCoordinates3(aPoint, bPoint, cPoint, dPoint, length);\\n        }\\n        //logger.debug(""...Ready"");\\n        return newPoints;\\n    }\'].'}]",Partially relevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'how to extract zip file recursively\'] and the source code is [\'public static void extractZip(File file) throws FileNotFoundException, IOException {\\n        final String originalPath = file.getPath();\\n        final File zip = new File(originalPath + "".zip"");\\n        if (zip.isFile() && !zip.delete()) {\\n            LOGGER.debug(""Failed to delete initial temporary file when extracting \\\'zip\\\' {}"", zip.toString());\\n            zip.deleteOnExit();\\n        }\\n        if (!file.renameTo(zip)) {\\n            throw new IOException(""Unable to rename \\\'"" + file.getPath() + ""\\\'"");\\n        }\\n        final File newFile = new File(originalPath);\\n        try (FileInputStream fis = new FileInputStream(zip);\\n                ZipInputStream cin = new ZipInputStream(fis);\\n                FileOutputStream out = new FileOutputStream(newFile)) {\\n            cin.getNextEntry();\\n            IOUtils.copy(cin, out);\\n        } finally {\\n            if (zip.isFile() && !org.apache.commons.io.FileUtils.deleteQuietly(zip)) {\\n                LOGGER.debug(""Failed to delete temporary file when extracting \\\'zip\\\' {}"", zip.toString());\\n                zip.deleteOnExit();\\n            }\\n        }\\n    }\'].'}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'how to extract zip file recursively\'] and the source code is [\'public static void extractZip(File file) throws FileNotFoundException, IOException {\\n        final String originalPath = file.getPath();\\n        final File zip = new File(originalPath + "".zip"");\\n        if (zip.isFile() && !zip.delete()) {\\n            LOGGER.debug(""Failed to delete initial temporary file when extracting \\\'zip\\\' {}"", zip.toString());\\n            zip.deleteOnExit();\\n        }\\n        if (!file.renameTo(zip)) {\\n            throw new IOException(""Unable to rename \\\'"" + file.getPath() + ""\\\'"");\\n        }\\n        final File newFile = new File(originalPath);\\n        try (FileInputStream fis = new FileInputStream(zip);\\n                ZipInputStream cin = new ZipInputStream(fis);\\n                FileOutputStream out = new FileOutputStream(newFile)) {\\n            cin.getNextEntry();\\n            IOUtils.copy(cin, out);\\n        } finally {\\n            if (zip.isFile() && !org.apache.commons.io.FileUtils.deleteQuietly(zip)) {\\n                LOGGER.debug(""Failed to delete temporary file when extracting \\\'zip\\\' {}"", zip.toString());\\n                zip.deleteOnExit();\\n            }\\n        }\\n    }\'].'}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['string similarity levenshtein'] and the source code is ['public static double similarLevenshtein(String s1, String s2) {\\n        if (s1.equals(s2)) {\\n            return 1.0;\\n        }\\n\\n        // Make sure s1 is the longest string\\n        if (s1.length() < s2.length()) {\\n            String swap = s1;\\n            s1 = s2;\\n            s2 = swap;\\n        }\\n\\n        int bigLength = s1.length();\\n        return (bigLength - StringUtils.getLevenshteinDistance(s2, s1)) / (double) bigLength;\\n    }'].""}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['copying a file to a path'] and the source code is ['public Path withFile(final String file) {\\n\\t\\tfinal Path result = new Path(this);\\n\\t\\tresult.setFile(file);\\n\\t\\treturn result;\\n\\t}'].""}]",Partially relevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'aes encryption\'] and the source code is [\'private byte[] doEncryptionOrDecryption(byte[] crypt, Key key, int mode) {\\n        Cipher rsaCipher;\\n        try {\\n            rsaCipher = Cipher.getInstance(CIPHER);\\n        } catch (NoSuchAlgorithmException | NoSuchPaddingException e) {\\n            throw SeedException.wrap(e, CryptoErrorCode.UNABLE_TO_GET_CIPHER)\\n                    .put(""alias"", alias)\\n                    .put(""cipher"", CIPHER);\\n        }\\n        try {\\n            rsaCipher.init(mode, key);\\n        } catch (InvalidKeyException e) {\\n            throw SeedException.wrap(e, CryptoErrorCode.INVALID_KEY)\\n                    .put(""alias"", alias);\\n        }\\n        try {\\n            return rsaCipher.doFinal(crypt);\\n        } catch (IllegalBlockSizeException | BadPaddingException e) {\\n            throw SeedException.wrap(e, CryptoErrorCode.UNEXPECTED_EXCEPTION);\\n        }\\n    }\'].'}]",Partially relevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['httpclient post json'] and the source code is ['public Observable<HttpClientResponse<ByteBuf>>\\n  postSmile(String uriStr, JsonPayload payload) {\\n    byte[] entity = toByteArray(SMILE_FACTORY, payload);\\n    URI uri = URI.create(uriStr);\\n    return rxHttp.post(uri, SMILE_CONTENT_TYPE, entity);\\n  }'].""}]",Partially relevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'how to randomly pick a number\'] and the source code is [\'public String generateBsn() {\\n        String Result1 = """";\\n        int Nr9 = randomUtil.random(3);\\n        int Nr8 = randomUtil.random(10);\\n        int Nr7 = randomUtil.random(10);\\n        int Nr6 = randomUtil.random(10);\\n        int Nr5 = randomUtil.random(10);\\n        int Nr4 = randomUtil.random(10);\\n        int Nr3 = randomUtil.random(10);\\n        int Nr2 = randomUtil.random(10);\\n        int Nr1 = 0;\\n        int SofiNr = 0;\\n        if ((Nr9 == 0) && (Nr8 == 0) && (Nr7 == 0)) {\\n            Nr8 = 1;\\n        }\\n        SofiNr = 9 * Nr9 + 8 * Nr8 + 7 * Nr7 + 6 * Nr6 + 5 * Nr5 + 4 * Nr4 + 3 * Nr3 + 2 * Nr2;\\n        Nr1 = floor(SofiNr - (floor(SofiNr / 11)) * 11);\\n        if (Nr1 > 9) {\\n            if (Nr2 > 0) {\\n                Nr2 -= 1;\\n                Nr1 = 8;\\n            } else {\\n                Nr2 += 1;\\n                Nr1 = 1;\\n            }\\n        }\\n        Result1 += Nr9;\\n        Result1 += Nr8;\\n        Result1 += Nr7;\\n        Result1 += Nr6;\\n        Result1 += Nr5;\\n        Result1 += Nr4;\\n        Result1 += Nr3;\\n        Result1 += Nr2;\\n        Result1 += Nr1;\\n        return Result1;\\n    }\'].'}]",Partially relevant,['partially irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['socket recv timeout'] and the source code is ['protected Socket acceptSocket(int timeout)\\n    {\\n        try\\n        {\\n            Socket s = null;\\n\\n            if (_listen != null)\\n            {\\n                if (_soTimeOut != timeout)\\n                {\\n                    _soTimeOut = timeout;\\n                    _listen.setSoTimeout(_soTimeOut);\\n                }\\n\\n                s = _listen.accept();\\n\\n                try\\n                {\\n                    if (getMaxIdleTimeMs() >= 0) s.setSoTimeout(getMaxIdleTimeMs());\\n                    if (_lingerTimeSecs >= 0)\\n                        s.setSoLinger(true, _lingerTimeSecs);\\n                    else\\n                        s.setSoLinger(false, 0);\\n                }\\n                catch (Exception e)\\n                {\\n                    LogSupport.ignore(log, e);\\n                }\\n            }\\n            return s;\\n        }\\n        catch (java.net.SocketException e)\\n        {\\n            // TODO - this is caught and ignored due strange\\n            // exception from linux java1.2.v1a\\n            LogSupport.ignore(log, e);\\n        }\\n        catch (InterruptedIOException e)\\n        {\\n            LogSupport.ignore(log, e);\\n        }\\n        catch (IOException e)\\n        {\\n            log.warn(LogSupport.EXCEPTION, e);\\n        }\\n        return null;\\n    }'].""}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['string similarity levenshtein'] and the source code is ['public static double similarLevenshtein(String s1, String s2) {\\n        if (s1.equals(s2)) {\\n            return 1.0;\\n        }\\n\\n        // Make sure s1 is the longest string\\n        if (s1.length() < s2.length()) {\\n            String swap = s1;\\n            s1 = s2;\\n            s2 = swap;\\n        }\\n\\n        int bigLength = s1.length();\\n        return (bigLength - StringUtils.getLevenshteinDistance(s2, s1)) / (double) bigLength;\\n    }'].""}]","The description is partially relevant to the code. The code implements a method called `similarLevenshtein` which calculates the similarity between two strings using the Levenshtein distance algorithm. However, the code also includes additional logic to ensure that the longer string is used as the reference for the calculation.",['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'deducting the median from each column\'] and the source code is [\'@Override\\n  public List<Assignment> assign(Collection<String> suiteNames, int slaves, long seed) {\\n    // Read hints first.\\n    final Map<String,List<Long>> hints = ExecutionTimesReport.mergeHints(resources, suiteNames);\\n\\n    // Preprocess and sort costs. Take the median for each suite\\\'s measurements as the \\n    // weight to avoid extreme measurements from screwing up the average.\\n    final List<SuiteHint> costs = new ArrayList<>();\\n    for (String suiteName : suiteNames) {\\n      final List<Long> suiteHint = hints.get(suiteName);\\n      if (suiteHint != null) {\\n        // Take the median for each suite\\\'s measurements as the weight\\n        // to avoid extreme measurements from screwing up the average.\\n        Collections.sort(suiteHint);\\n        final Long median = suiteHint.get(suiteHint.size() / 2);\\n        costs.add(new SuiteHint(suiteName, median));\\n      }\\n    }\\n    Collections.sort(costs, SuiteHint.DESCENDING_BY_WEIGHT);\\n\\n    // Apply the assignment heuristic.\\n    final PriorityQueue<SlaveLoad> pq = new PriorityQueue<SlaveLoad>(\\n        slaves, SlaveLoad.ASCENDING_BY_ESTIMATED_FINISH);\\n    for (int i = 0; i < slaves; i++) {\\n      pq.add(new SlaveLoad(i));\\n    }\\n\\n    final List<Assignment> assignments = new ArrayList<>();\\n    for (SuiteHint hint : costs) {\\n      SlaveLoad slave = pq.remove();\\n      slave.estimatedFinish += hint.cost;\\n      pq.add(slave);\\n\\n      owner.log(""Expected execution time for "" + hint.suiteName + "": "" +\\n          Duration.toHumanDuration(hint.cost),\\n          Project.MSG_DEBUG);\\n\\n      assignments.add(new Assignment(hint.suiteName, slave.id, (int) hint.cost));\\n    }\\n\\n    // Dump estimated execution times.\\n    TreeMap<Integer, SlaveLoad> ordered = new TreeMap<Integer, SlaveLoad>();\\n    while (!pq.isEmpty()) {\\n      SlaveLoad slave = pq.remove();\\n      ordered.put(slave.id, slave);\\n    }\\n    for (Integer id : ordered.keySet()) {\\n      final SlaveLoad slave = ordered.get(id);\\n      owner.log(String.format(Locale.ROOT, \\n          ""Expected execution time on JVM J%d: %8.2fs"",\\n          slave.id,\\n          slave.estimatedFinish / 1000.0f), \\n          verbose ? Project.MSG_INFO : Project.MSG_DEBUG);\\n    }\\n\\n    return assignments;\\n  }\'].'}]",Partially relevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'string to date\'] and the source code is [\'private Date toDate(final String pStringDate) {\\n\\n        // weird manipulation to parse the date... remove \\\':\\\' from the timezone\\n        // before: 2011-07-12T22:42:40.000+02:00\\n        // after: 2011-07-12T22:42:40.000+0200\\n        final StringBuilder _date = new StringBuilder();\\n        _date.append(pStringDate.substring(0, pStringDate.length() - 3));\\n        _date.append(pStringDate.substring(pStringDate.length() - 2));\\n        try {\\n            return new SimpleDateFormat(RFC_339_DATE_FORMAT).parse(_date.toString());\\n        } catch (final ParseException e) {\\n            throw new IllegalArgumentException(\\n                    ""The given spreadsheet ListEntry usercrashdate field value is malformed"", e);\\n        }\\n    }\'].'}]",Partially relevant,['partially irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'convert decimal to hex\'] and the source code is [\'private static int decode(final int hex) {\\n        if (hex >= CcHex.BACK.length) {\\n            throw new DecodingException(\\n                String.format(""invalid hex char: 0x%2x"", hex)\\n            );\\n        }\\n        final int dec = CcHex.BACK[hex];\\n        if (dec < 0) {\\n            throw new DecodingException(\\n                String.format(""invalid hex character: 0x%2x"", hex)\\n            );\\n        }\\n        return dec;\\n    }\'].'}]",Irrelevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['how to empty array'] and the source code is ['public static Double[] nullToEmpty(Double[] array) {\\n        if (array == null || array.length == 0) {\\n            return EMPTY_DOUBLE_OBJECT_ARRAY;\\n        }\\n        return array;\\n    }'].""}]",Partially irrelevant,['irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': 'The description is [\'how to randomly pick a number\'] and the source code is [\'public String generateBsn() {\\n        String Result1 = """";\\n        int Nr9 = randomUtil.random(3);\\n        int Nr8 = randomUtil.random(10);\\n        int Nr7 = randomUtil.random(10);\\n        int Nr6 = randomUtil.random(10);\\n        int Nr5 = randomUtil.random(10);\\n        int Nr4 = randomUtil.random(10);\\n        int Nr3 = randomUtil.random(10);\\n        int Nr2 = randomUtil.random(10);\\n        int Nr1 = 0;\\n        int SofiNr = 0;\\n        if ((Nr9 == 0) && (Nr8 == 0) && (Nr7 == 0)) {\\n            Nr8 = 1;\\n        }\\n        SofiNr = 9 * Nr9 + 8 * Nr8 + 7 * Nr7 + 6 * Nr6 + 5 * Nr5 + 4 * Nr4 + 3 * Nr3 + 2 * Nr2;\\n        Nr1 = floor(SofiNr - (floor(SofiNr / 11)) * 11);\\n        if (Nr1 > 9) {\\n            if (Nr2 > 0) {\\n                Nr2 -= 1;\\n                Nr1 = 8;\\n            } else {\\n                Nr2 += 1;\\n                Nr1 = 1;\\n            }\\n        }\\n        Result1 += Nr9;\\n        Result1 += Nr8;\\n        Result1 += Nr7;\\n        Result1 += Nr6;\\n        Result1 += Nr5;\\n        Result1 += Nr4;\\n        Result1 += Nr3;\\n        Result1 += Nr2;\\n        Result1 += Nr1;\\n        return Result1;\\n    }\'].'}]",Partially relevant,['partially irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['deserialize json'] and the source code is ['public static <T> T deserialize(byte[] input, Class<T> classType)\\n            throws JsonParseException, JsonMappingException, IOException {\\n        return mapper.readValue(input, classType);\\n    }'].""}]",Partially relevant,['partially irrelevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['how to extract zip file recursively'] and the source code is ['public static void unzip(File file, File destDir) throws IOException {\\n        if (!destDir.exists()) {\\n            destDir.mkdir();\\n        }\\n        ZipInputStream zipIn = new ZipInputStream(new FileInputStream(file));\\n        ZipEntry entry = zipIn.getNextEntry();\\n        // iterates over entries in the zip file\\n        while (entry != null) {\\n            File entryFile = new File(destDir, entry.getName());\\n            if (!entry.isDirectory()) {\\n                // if the entry is a file, extracts it\\n                extractFile(zipIn, entryFile);\\n            } else {\\n                // if the entry is a directory, make the directory\\n                entryFile.mkdir();\\n            }\\n            zipIn.closeEntry();\\n            entry = zipIn.getNextEntry();\\n        }\\n        zipIn.close();\\n    }'].""}]",relevant only,['relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['how to reverse a string'] and the source code is ['public static String reverse(final String str) {\\n        if (str == null) {\\n            return null;\\n        }\\n        return new StringBuilder(str).reverse().toString();\\n    }'].""}]",Relevant only,['relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['deserialize json'] and the source code is ['@Override\\n  public EventRequest deserialize(JsonElement json, Type typeOfT,\\n      JsonDeserializationContext context)\\n      throws JsonParseException {\\n    Gson gson = new GsonBuilder()\\n        .setFieldNamingPolicy(FieldNamingPolicy.LOWER_CASE_WITH_UNDERSCORES)\\n        .create();\\n\\n    // API versions 2017-05-25 and earlier render `request` as a string\\n    // instead of a JSON object\\n    if (json.isJsonPrimitive()) {\\n      EventRequest request = new EventRequest();\\n      request.setId(json.getAsString());\\n      return request;\\n    } else {\\n      return gson.fromJson(json, typeOfT);\\n    }\\n  }'].""}]",Partially relevant,['partially relevant']
20240201-215401,50,"[{'role': 'system', 'content': 'You will be provided a description and a piece of code, and your task is to say if the description is relevant to the code, using irrelevant, partially irrelevant, partially relevant, relevant only'}, {'role': 'user', 'content': ""The description is ['postgresql connection'] and the source code is ['private void postGetConnectionHandling(Connection conn) throws SQLException {\\n        helper.doConnectionSetup(conn);\\n\\n        String[] sqlCommands = dsConfig.get().onConnect;\\n        if (sqlCommands != null && sqlCommands.length > 0)\\n            onConnect(conn, sqlCommands);\\n\\n        // Log the database and driver versions on first getConnection.\\n        if (!wasUsedToGetAConnection) {\\n            // Wait until after the connection succeeds to set the indicator.\\n            // This accounts for the scenario where the first connection attempt is bad.\\n            // The information needs to be read again on the second attempt.\\n            helper.gatherAndDisplayMetaDataInfo(conn, this);\\n            wasUsedToGetAConnection = true;\\n        }\\n    }'].""}]",Partially relevant,['partially irrelevant']
