,function,docstring,file_name,id,label
5,"private void reachMaxFoodLevel()
    {
        if(foodLevel > MAX_FOOD_LEVEL) {
            foodLevel = MAX_FOOD_LEVEL; 
        }
    }","Check whether food level is beyond maximum food level. If yes, cap it.",Buffalo.java,570.0,3
6,"private void incrementHunger() 
    {
        foodLevel--;
        if(foodLevel <= 0) {
            setDead();
        }
    }",Make this buffalo more hungry. This could result in the buffalo's death.,Buffalo.java,570.0,3
7,"protected void reproduce(List<Organism> newBuffalos)
    {
        // New buffalos are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        List<Location> free = field.getFreeAdjacentLocations(getLocation());
        int births = breed();
        for(int b = 0; b < births && free.size() > 0; b++) {
            Location loc = free.remove(0);
            Buffalo young = new Buffalo (false, field, loc);
            newBuffalos.add(young);
        }
    }","Check whether or not this buffalo is to reproduce at this step.
New births will be made into free adjacent locations.
@param newBuffalos A list to return newly born buffalos.",Buffalo.java,570.0,3
8,"protected int breed()
    {
        int births = 0;
        if(canBreed() && healthy() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Buffalo.java,570.0,3
9,"private boolean healthy() {
        return foodLevel >= BREEDING_FOOD_LEVEL;
    }","Check whether the buffalo is healthy enough to breed.
@return true if food level is above breeding food value, false if not.",Buffalo.java,570.0,3
0,"protected Field getField() 
    {
        return field;
    }","Return the weather's field.
@return The weather's field.",Weather.java,570.0,3
0,"public void populate(Field field, List<Organism> actors)
    {
        Random rand = Randomizer.getRandom();
        field.clear();
        for(int row = 0; row < field.getDepth(); row++) {
            for(int col = 0; col < field.getWidth(); col++) {
                if (rand.nextDouble() <= GRASS_CREATION_PROBABILITY) {
                    Location location = new Location(row, col);
                    Organism grass = new Grass(true, field, location);
                    actors.add(grass);
                }
                else if (rand.nextDouble() <= ZEBRA_CREATION_PROBABILITY) {
                    Location location = new Location(row, col);
                    Organism zebra = new Zebra(true, field, location);
                    actors.add(zebra);
                } 
                else if (rand.nextDouble() <= BUFFALO_CREATION_PROBABILITY) {
                    Location location = new Location(row, col);
                    Organism buffalo = new Buffalo(true, field, location);
                    actors.add(buffalo);
                } else if (rand.nextDouble() <= HYENA_CREATION_PROBABILITY) {
                    Location location = new Location(row, col);
                    Organism hyena = new Hyena(true,field, location);
                    actors.add(hyena);
                } else if (rand.nextDouble() <= LION_CREATION_PROBABILITY) {
                    Location location = new Location(row,col);
                    Organism lion = new Lion(true, field, location);
                    actors.add(lion);
                }
                // else leave the location empty.
            }
        }
    }","Randomly populate the field with grass, zebras, buffalos, hyenas and lions.",PopulationGenerator.java,570.0,3
0,"public String getName()
    {
        return name;
    }",@return The short description of this type.,Counter.java,570.0,3
1,"public int getCount()
    {
        return count;
    }",@return The current count for this type.,Counter.java,570.0,3
2,"public void increment()
    {
        count++;
    }",Increment the current count by one.,Counter.java,570.0,3
3,"public void reset()
    {
        count = 0;
    }",Reset the current count to zero.,Counter.java,570.0,3
0,"public void setColor(Class animalClass, Color color)
    {
        colors.put(animalClass, color);
    }","Define a color to be used for a given class of animal.
@param animalClass The animal's Class object.
@param color The color to be used for the given class.",SimulatorView.java,570.0,3
1,"private Color getColor(Class animalClass)
    {
        Color col = colors.get(animalClass);
        if(col == null) {
            // no color defined for this class
            return UNKNOWN_COLOR;
        }
        else {
            return col;
        }
    }",@return The color to be used for a given class of animal.,SimulatorView.java,570.0,3
2,"public void showStatus(int step, Field field)
    {
        if(!isVisible()) {
            setVisible(true);
        }
        
        stepLabel.setText(STEP_PREFIX + step);
        String time = field.getCurrentTime().toString(); 
        timeLabel.setText(TIME_PREFIX + time);
        String weather = field.getCurrentWeather().toString();
        weatherLabel.setText(WEATHER_PREFIX + weather);
        String numberInfected = Integer.toString(field.getNumberInfected()); 
        infectedLabel.setText(INFECTED_PREFIX + numberInfected);
        
        stats.reset();
        fieldView.preparePaint();
        for(int row = 0; row < field.getDepth(); row++) {
            for(int col = 0; col < field.getWidth(); col++) {
                Object organism = field.getObjectAt(row, col);
                if(organism == null) {
                    fieldView.drawMark(col, row, EMPTY_COLOR);
                }

                else {
                    stats.incrementCount(organism.getClass());
                    fieldView.drawMark(col, row, getColor(organism.getClass()));
                    if (organism instanceof Animal) {
                        Animal animal = (Animal) organism;  
                        if (animal.isInfected()) {
                            fieldView.drawMark(col,row,Color.BLACK);
                        }
                    }
                }
            }
            stats.countFinished();

            population.setText(POPULATION_PREFIX + stats.getPopulationDetails(field));
            fieldView.repaint();
        }
    }","Show the current status of the field.
@param step Which iteration step it is.
@param field The field whose status is to be displayed.",SimulatorView.java,570.0,3
3,"public boolean isViable(Field field)
    {
        return stats.isViable(field);
    }","Determine whether the simulation should continue to run.
@return true If there is more than one species alive.",SimulatorView.java,570.0,3
0,"public void runLongSimulation()
    {
        simulate(4000);
    }","Run the simulation from its current state for a reasonably long period,
(4000 steps).",Simulator.java,570.0,3
1,"public void simulate(int numSteps)
    {
        for(int step = 1; step <= numSteps && view.isViable(field); step++) {
            simulateOneStep();
            delay(60);   // uncomment this to run more slowly
        }
    }","Run the simulation from its current state for the given number of steps.
Stop before the given number of steps if it ceases to be viable.
@param numSteps The number of steps to run for.",Simulator.java,570.0,3
2,"public void simulateOneStep()
    {
        step++;
        field.playWeather();
        if (step % 2 == 0) {
            field.setCurrentTime(Time.NIGHT);
        }
        else {
            field.setCurrentTime(Time.DAY);
        }
        
        // Provide space for newborn organisms.
        List<Organism> newOrganisms = new ArrayList<>();     
        //
        Random rand = new Random(); 
        // Let all organisms act.
        for(Iterator<Organism> it = organisms.iterator(); it.hasNext(); ) {
            Organism organism = it.next();
            if (organism instanceof Animal && rand.nextDouble() <= DISEASE_CREATION_PROBABILITY ) {
                Animal animal = (Animal) organism;
                animal.infect(); 
            }
            organism.act(newOrganisms);
            if(! organism.isAlive()) {
                it.remove(); 
            }
        }
               
        // Add the newly born organisms to the main lists.
        organisms.addAll(newOrganisms);

        view.showStatus(step, field);
    }","Run the simulation from its current state for a single step.
Iterate over the whole field updating the state of each plant and animal.",Simulator.java,570.0,3
3,"public void reset()
    {
        step = 0;
        organisms.clear();
        populate();
       
        // Show the starting state in the view.
        view.showStatus(step, field);
    }",Reset the simulation to a starting position.,Simulator.java,570.0,3
4,"private void populate()
    {
        Random rand = Randomizer.getRandom();
        field.clear();
        populator.populate(field, organisms);
    }",Randomly populate the field with plants and animals.,Simulator.java,570.0,3
5,"private void delay(int millisec)
    {
        try {
            Thread.sleep(millisec);
        }
        catch (InterruptedException ie) {
            // wake up
        }
    }","Pause for a given time.
@param millisec  The time to pause for, in milliseconds",Simulator.java,570.0,3
0,"public void act(List<Organism> newZebras)
    {
        incrementAge();
        incrementHunger();
        if(isAlive()) {
            if (isInfected()) {
                infectOthers();
                heal();
            }
            else {
                reproduce(newZebras);            
            }          

            if(dayTime()){
                // Try to move into a free location.
                Location newLocation = findFood();
                if(newLocation == null) { 
                    // No food found - try to move to a free location.
                    newLocation = getField().freeAdjacentLocation(getLocation());
                }
                // See if it was possible to move.
                if(newLocation != null) {
                    setLocation(newLocation);
                }
                else {
                    // Overcrowding.
                    setDead();
                }
            }
        }
    }","This is what the zebra does most of the time - it runs
around and eat grass in the day time. Sometimes it will breed or die of old age or catch an infection.
@param newZebras A list to return newly born zebras.",Zebra.java,570.0,3
1,"protected int getAge() 
    {
        return age;
    }","Return the age for this zebra.
@return The zebra's age.",Zebra.java,570.0,3
2,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }","Increase the age.
This could result in the zebra's death.",Zebra.java,570.0,3
3,"protected int getBreedingAge()
    {
        return BREEDING_AGE;
    }","Return the breeding age for a zebra
@return The zebra's breeding age",Zebra.java,570.0,3
4,"protected Location findFood()
    {
        Field field = getField();
        List<Location> adjacent = field.adjacentLocations(getLocation());
        Iterator<Location> it = adjacent.iterator();
        while(it.hasNext()) {
            Location where = it.next();
            Object plant = field.getObjectAt(where);
            if(plant instanceof Grass) {
                Grass grass = (Grass) plant;
                if(grass.isAlive()) { 
                    grass.setDead();
                    foodLevel += GRASS_FOOD_VALUE;
                    reachMaxFoodLevel();
                    return where;
                }
            }
        }
        return null;
    }","Look for grass adjacent to the current location.
Only the first live grass is eaten.
@return Where food was found, or null if it wasn't.",Zebra.java,570.0,3
5,"private void reachMaxFoodLevel()
    {
        if(foodLevel > MAX_FOOD_LEVEL) {
            foodLevel = MAX_FOOD_LEVEL; 
        }
    }","Check whether food level is beyond maximum food level. If yes, cap it.",Zebra.java,570.0,3
6,"protected void reproduce(List<Organism> newZebras)
    {
        // New zebras are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        List<Location> free = field.getFreeAdjacentLocations(getLocation());
        int births = breed();
        for(int b = 0; b < births && free.size() > 0; b++) {
            Location loc = free.remove(0);
            Zebra young = new Zebra (false, field, loc);
            newZebras.add(young);
        }
    }","Check whether or not this zebra is to give birth at this step.
New births will be made into free adjacent locations.
@param newZebras A list to return newly born zebras.",Zebra.java,570.0,3
7,"protected int breed()
    {
        int births = 0;
        if(canBreed() && healthy() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Zebra.java,570.0,3
8,"private boolean healthy() {
        return foodLevel >= BREEDING_FOOD_LEVEL;
    }","Check whether the zebra is healthy enough to breed.
@return true if food level is above breeding food value, false if not.",Zebra.java,570.0,3
9,"private void incrementHunger()
    {
        foodLevel--;
        if(foodLevel <= 0) {
            setDead();
        }
    }",Make this zebra more hungry. This could result in the fox's death.,Zebra.java,570.0,3
0,"public void act()
    {
        for(int row = 0; row < getField().getDepth(); row++) {
            for(int col = 0; col < getField().getWidth(); col++) {
                Location where = new Location(row, col);
                Object object = getField().getObjectAt(where);
                if(object instanceof Plant) {
                    Plant plant = (Plant) object;
                    if (plant.isAlive()) {
                        plant.incrementThirst();
                    }
                }
            }
        }            
    }",This is what  does.,Sunny.java,570.0,3
1,"public String toString() 
    {
        return displayString; 
    }","Return display string for rain.
@return The sunny word as a string",Sunny.java,570.0,3
0,"public String getPopulationDetails(Field field)
    {
        StringBuffer buffer = new StringBuffer();
        if(!countsValid) {
            generateCounts(field);
        }
        for(Class key : counters.keySet()) {
            Counter info = counters.get(key);
            buffer.append(info.getName());
            buffer.append("": "");
            buffer.append(info.getCount());
            buffer.append(' ');
        }
        return buffer.toString();
    }","Get details of what is in the field.
@return A string describing what is in the field.",FieldStats.java,570.0,3
1,"public void reset()
    {
        countsValid = false;
        for(Class key : counters.keySet()) {
            Counter count = counters.get(key);
            count.reset();
        }
    }","Invalidate the current set of statistics; reset all
counts to zero.",FieldStats.java,570.0,3
2,"public void incrementCount(Class animalClass)
    {
        Counter count = counters.get(animalClass);
        if(count == null) {
            // We do not have a counter for this species yet.
            // Create one.
            count = new Counter(animalClass.getName());
            counters.put(animalClass, count);
        }
        count.increment();
    }","Increment the count for one class of animal.
@param animalClass The class of animal to increment.",FieldStats.java,570.0,3
3,"public void countFinished()
    {
        countsValid = true;
    }",Indicate that an animal count has been completed.,FieldStats.java,570.0,3
4,"public boolean isViable(Field field)
    {
        // How many counts are non-zero.
        int nonZero = 0;
        if(!countsValid) {
            generateCounts(field);
        }
        for(Class key : counters.keySet()) {
            Counter info = counters.get(key);
            if(info.getCount() > 0) {
                nonZero++;
            }
        }
        return nonZero > 1;
    }","Determine whether the simulation is still viable.
I.e., should it continue to run.
@return true If there is more than one species alive.",FieldStats.java,570.0,3
5,"private void generateCounts(Field field)
    {
        reset();
        for(int row = 0; row < field.getDepth(); row++) {
            for(int col = 0; col < field.getWidth(); col++) {
                Object animal = field.getObjectAt(row, col);
                if(animal != null) {
                    incrementCount(animal.getClass());
                }
            }
        }
        countsValid = true;
    }","Generate counts of the number of foxes and rabbits.
These are not kept up to date as foxes and rabbits
are placed in the field, but only when a request
is made for the information.
@param field The field to generate the stats for.",FieldStats.java,570.0,3
0,"public boolean equals(Object obj)
    {
        if (this == obj) {
            return true;
        }

        if (obj == null) {
            return false;
        }

        if(obj instanceof Location) {
            Location other = (Location) obj;
            return row == other.getRow() && col == other.getCol();
        }
        else {
            return false;
        }
    }",Implement content equality.,Location.java,570.0,3
1,"public String toString()
    {
        return row + "","" + col;
    }","Return a string of the form row,column
@return A string representation of the location.",Location.java,570.0,3
2,"public int hashCode()
    {
        return (row << 16) + col;
    }","Use the top 16 bits for the row value and the bottom for
the column. Except for very big grids, this should give a
unique hash code for each (row, col) pair.
@return A hashcode for the location.",Location.java,570.0,3
3,"public int getRow()
    {
        return row;
    }",@return The row.,Location.java,570.0,3
4,"public int getCol()
    {
        return col;
    }",@return The column.,Location.java,570.0,3
0,"public boolean isAlive()
    {
        return alive;
    }","Check whether the organism is alive or not.
@return true if the organism is still alive.",Organism.java,570.0,3
1,"protected void setDead()
    {
        alive = false;
        if(location != null) {
            field.clear(location);
            location = null;
            field = null;
        }
    }","Indicate that the organism is no longer alive.
It is removed from the field.",Organism.java,570.0,3
2,"protected Field getField() {
        return this.field;
    }","Return the organism's field.
@return The organism's field.",Organism.java,570.0,3
3,"protected Location getLocation()
    {
        return location;
    }","Return the organism's location.
@return The organism's location.",Organism.java,570.0,3
4,"protected void setLocation(Location newLocation)
    {
        if(location != null) {
            field.clear(location);
        }
        location = newLocation;
        field.place(this, newLocation);
    }","Place the animal at the new location in the given field.
@param newLocation The animal's new location.",Organism.java,570.0,3
5,"protected boolean dayTime() 
    {
        return field.getCurrentTime().equals(Time.DAY); 
    }","Check whether it is day time in the given field
@return True if day time, false if not.",Organism.java,570.0,3
6,"protected boolean nightTime() 
    {
        return field.getCurrentTime().equals(Time.NIGHT); 
    }","Check whether it is night time in the given field.
@return True if night time, false if not.",Organism.java,570.0,3
0,"public void act(List<Animal> newFoxes)
    {
        incrementAge();
        incrementHunger();
        if(isAlive()) {
            giveBirth(newFoxes);            
            // Move towards a source of food if found.
            Location newLocation = findFood();
            if(newLocation == null) { 
                // No food found - try to move to a free location.
                newLocation = getField().freeAdjacentLocation(getLocation());
            }
            // See if it was possible to move.
            if(newLocation != null) {
                setLocation(newLocation);
            }
            else {
                // Overcrowding.
                setDead();
            }
        }
    }","This is what the fox does most of the time: it hunts for
rabbits. In the process, it might breed, die of hunger,
or die of old age.
@param field The field currently occupied.
@param newFoxes A list to return newly born foxes.",Fox.java,570.0,3
1,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }",Increase the age. This could result in the fox's death.,Fox.java,570.0,3
2,"private void incrementHunger()
    {
        foodLevel--;
        if(foodLevel <= 0) {
            setDead();
        }
    }",Make this fox more hungry. This could result in the fox's death.,Fox.java,570.0,3
3,"private Location findFood()
    {
        Field field = getField();
        List<Location> adjacent = field.adjacentLocations(getLocation());
        Iterator<Location> it = adjacent.iterator();
        while(it.hasNext()) {
            Location where = it.next();
            Object animal = field.getObjectAt(where);
            if(animal instanceof Rabbit) {
                Rabbit rabbit = (Rabbit) animal;
                if(rabbit.isAlive()) { 
                    rabbit.setDead();
                    foodLevel = RABBIT_FOOD_VALUE;
                    return where;
                }
            }
        }
        return null;
    }","Look for rabbits adjacent to the current location.
Only the first live rabbit is eaten.
@return Where food was found, or null if it wasn't.",Fox.java,570.0,3
4,"private void giveBirth(List<Animal> newFoxes)
    {
        // New foxes are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        List<Location> free = field.getFreeAdjacentLocations(getLocation());
        int births = breed();
        for(int b = 0; b < births && free.size() > 0; b++) {
            Location loc = free.remove(0);
            Fox young = new Fox(false, field, loc);
            newFoxes.add(young);
        }
    }","Check whether or not this fox is to give birth at this step.
New births will be made into free adjacent locations.
@param newFoxes A list to return newly born foxes.",Fox.java,570.0,3
5,"private int breed()
    {
        int births = 0;
        if(canBreed() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Fox.java,570.0,3
6,"private boolean canBreed()
    {
        return age >= BREEDING_AGE;
    }",A fox can breed if it has reached the breeding age.,Fox.java,570.0,3
0,"public Time getCurrentTime() {
        return currentTime; 
    }","Return the current time of the day.
@return Either day or night",Field.java,570.0,3
1,"public void setCurrentTime(Time newTime) 
    {
        currentTime = newTime; 
    }",Modify the time of the day at given field.,Field.java,570.0,3
2,"public void playWeather() 
    {
        setCurrentWeather(); 
        currentWeather.act();
    }",Play weather in given field.,Field.java,570.0,3
3,"public Weather getCurrentWeather() {
        return currentWeather; 
    }","Return the current weather of the field.
@return The field's current weather.",Field.java,570.0,3
4,"private void setCurrentWeather() 
    {
        currentWeather = randomWeather(); 
    }",Randomly modify current weather.,Field.java,570.0,3
5,"private Weather randomWeather() 
    {  
        List <Weather> weatherList = new ArrayList<>(possibleWeather) ; 
        int randomNumber = rand.nextInt(weatherList.size());
        return weatherList.get(randomNumber);
    }","Generate a random weather for this animal.
@return Any possible weather.",Field.java,570.0,3
6,"public void incrementNumberInfected() 
    {
        numberInfected ++; 
    }",Increment the number of infected animals on field by one.,Field.java,570.0,3
7,"public int getNumberInfected() 
    {
        numberInfected = 0;
        for(int row = 0; row < depth; row++) {
            for(int col = 0; col < width; col++) {
                Object organism = getObjectAt(row, col);
                if(organism != null) {
                     if (organism instanceof Animal) {
                        Animal animal = (Animal) organism;  
                        if (animal.isInfected()) {
                            numberInfected++; 
                        }
                    }
                }; 
            }
        }
        return numberInfected; 
    }","Return the number of infected animals on field.
@return how many infected animals.",Field.java,570.0,3
8,"public void clear()
    {
        for(int row = 0; row < depth; row++) {
            for(int col = 0; col < width; col++) {
                field[row][col] = null;
            }
        }
    }",Empty the field.,Field.java,570.0,3
9,"public void clear(Location location)
    {
        field[location.getRow()][location.getCol()] = null;
    }","Clear the given location.
@param location The location to clear.",Field.java,570.0,3
10,"public void place(Object animal, int row, int col)
    {
        place(animal, new Location(row, col));
    }","Place an animal at the given location.
If there is already an animal at the location it will
be lost.
@param animal The animal to be placed.
@param row Row coordinate of the location.
@param col Column coordinate of the location.",Field.java,570.0,3
11,"public void place(Object animal, Location location)
    {
        field[location.getRow()][location.getCol()] = animal;
    }","Place an animal at the given location.
If there is already an animal at the location it will
be lost.
@param animal The animal to be placed.
@param location Where to place the animal.",Field.java,570.0,3
12,"public Object getObjectAt(Location location)
    {
        return getObjectAt(location.getRow(), location.getCol());
    }","Return the animal at the given location, if any.
@param location Where in the field.
@return The animal at the given location, or null if there is none.",Field.java,570.0,3
13,"public Object getObjectAt(int row, int col)
    {
        return field[row][col];
    }","Return the animal at the given location, if any.
@param row The desired row.
@param col The desired column.
@return The animal at the given location, or null if there is none.",Field.java,570.0,3
14,"public Location randomAdjacentLocation(Location location)
    {
        List<Location> adjacent = adjacentLocations(location);
        return adjacent.get(0);
    }","Generate a random location that is adjacent to the
given location, or is the same location.
The returned location will be within the valid bounds
of the field.
@param location The location from which to generate an adjacency.
@return A valid location within the grid area.",Field.java,570.0,3
15,"public List<Location> getFreeAdjacentLocations(Location location)
    {
        List<Location> free = new LinkedList<>();
        List<Location> adjacent = adjacentLocations(location);
        for(Location next : adjacent) {
            if(getObjectAt(next) == null) {
                free.add(next);
            }
        }
        return free;
    }","Get a shuffled list of the free adjacent locations.
@param location Get locations adjacent to this.
@return A list of free adjacent locations.",Field.java,570.0,3
16,"public Location freeAdjacentLocation(Location location)
    {
        // The available free ones.
        List<Location> free = getFreeAdjacentLocations(location);
        if(free.size() > 0) {
            return free.get(0);
        }
        else {
            return null;
        }
    }","Try to find a free location that is adjacent to the
given location. If there is none, return null.
The returned location will be within the valid bounds
of the field.
@param location The location from which to generate an adjacency.
@return A valid location within the grid area.",Field.java,570.0,3
17,"public List<Location> adjacentLocations(Location location)
    {
        assert location != null : ""Null location passed to adjacentLocations"";
        // The list of locations to be returned.
        List<Location> locations = new LinkedList<>();
        if(location != null) {
            int row = location.getRow();
            int col = location.getCol();
            for(int roffset = -1; roffset <= 1; roffset++) {
                int nextRow = row + roffset;
                if(nextRow >= 0 && nextRow < depth) {
                    for(int coffset = -1; coffset <= 1; coffset++) {
                        int nextCol = col + coffset;
                        // Exclude invalid locations and the original location.
                        if(nextCol >= 0 && nextCol < width && (roffset != 0 || coffset != 0)) {
                            locations.add(new Location(nextRow, nextCol));
                        }
                    }
                }
            }

            // Shuffle the list. Several other methods rely on the list
            // being in a random order.
            Collections.shuffle(locations, rand);
        }
        return locations;
    }","Return a shuffled list of locations adjacent to the given one.
The list will not include the location itself.
All locations will lie within the grid.
@param location The location from which to generate adjacencies.
@return A list of locations adjacent to that given.",Field.java,570.0,3
18,"public int getDepth()
    {
        return depth;
    }","Return the depth of the field.
@return The depth of the field.",Field.java,570.0,3
19,"public int getWidth()
    {
        return width;
    }","Return the width of the field.
@return The width of the field.",Field.java,570.0,3
0,"public void act(List<Organism> newLions)
    {
        incrementAge();
        incrementHunger();
        if(isAlive()) {
            if (isInfected()) {
                infectOthers();
                heal();
            }
            else {
                reproduce(newLions);            
            }         

            if (nightTime()) {
                // Move towards a source of food if found.
                Location newLocation = findFood();
                if(newLocation == null) { 
                    // No food found - try to move to a free location.
                    newLocation = getField().freeAdjacentLocation(getLocation());
                }
                // See if it was possible to move.
                if(newLocation != null) {
                    setLocation(newLocation);
                }
                else {
                    // Overcrowding.
                    setDead();
                }
            } 
        }
    }","This is what the lion does most of the time: it hunts for
buffalo, zebra or hyena in the night time. In the process, it might breed, die of hunger,
or die of old age. Also, it is possible for a lion to catch an infection.
@param newLions A list to return newly born lions.",Lion.java,570.0,3
1,"protected int getAge() 
    {
        return age;
    }","Return the age for this lion.
@return The lion's age.",Lion.java,570.0,3
2,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }",Increase the age. This could result in the lion's death.,Lion.java,570.0,3
3,"protected int getBreedingAge()
    {
        return BREEDING_AGE;
    }","Return the breeding age for a lion.
@return The lion's breeding age",Lion.java,570.0,3
4,"private void incrementHunger()
    {
        foodLevel--;
        if(foodLevel <= 0) {
            setDead();
        }
    }",Make this lion more hungry. This could result in the lion's death.,Lion.java,570.0,3
5,"protected Location findFood()
    {
        Field field = getField();
        List<Location> adjacent = field.adjacentLocations(getLocation());
        Iterator<Location> it = adjacent.iterator();
        while(it.hasNext()) {
            Location where = it.next();
            Object object = field.getObjectAt(where);
            if(object instanceof Zebra){
                Zebra zebra = (Zebra) object;
                if(zebra.isAlive()) { 
                    zebra.setDead();
                    foodLevel += ZEBRA_FOOD_VALUE;
                    reachMaxFoodLevel();
                    return where;
                }
            }
            
            if(object instanceof Buffalo) {
                Buffalo buffalo = (Buffalo) object;
                if(buffalo.isAlive()) { 
                    buffalo.setDead();
                    foodLevel += BUFFALO_FOOD_VALUE;
                    reachMaxFoodLevel();
                    return where;
                }
            }

            if (object instanceof Hyena) {
                Hyena hyena = (Hyena) object;
                if(hyena.isAlive()) { 
                    hyena.setDead();
                    foodLevel += HYENA_FOOD_VALUE;
                    reachMaxFoodLevel();
                    return where;
                }
            }        

            if(object instanceof Plant) {
                Plant plant = (Plant) object;
                if(plant.isAlive()) { 
                    plant.setDead();
                    return where;
                }
            }
        }
        return null;
    }","Look for buffalo/zebra/hyena adjacent to the current location.
Only the first live prey is eaten.
@return Where food was found, or null if it wasn't.",Lion.java,570.0,3
6,"private void reachMaxFoodLevel()
    {
        if(foodLevel > MAX_FOOD_LEVEL) {
            foodLevel = MAX_FOOD_LEVEL; 
        }
    }","Check whether food level is beyond maximum food level. If yes, cap it.",Lion.java,570.0,3
7,"protected void reproduce(List<Organism> newLions)
    {
        // New lions are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        List<Location> free = field.getFreeAdjacentLocations(getLocation());
        int births = breed();

        for(int b = 0; b < births && free.size() > 0; b++) {
            Location loc = free.remove(0);
            Lion young = new Lion(false, field, loc);
            newLions.add(young);
        }
    }","Check whether or not this lion is to give birth at this step.
New births will be made into free adjacent locations.
@param newLions A list to return newly born lions.",Lion.java,570.0,3
8,"protected int breed()
    {
        int births = 0;
        if(canBreed() && healthy() && rand.nextDouble() <= BREEDING_PROBABILITY) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1;
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Lion.java,570.0,3
9,"private boolean healthy() {
        return foodLevel >= BREEDING_FOOD_LEVEL;
    }","Check whether the lion is healthy enough to breed.
@return true if food level is above breeding food value, false if not.",Lion.java,570.0,3
0,"public void act(List<Organism> newGrasses)
    {
        incrementAge();
        if(isAlive()) {
            if (dayTime()){
                reproduce(newGrasses);
            }
            Location newLocation = getField().freeAdjacentLocation(getLocation()); 
            if (newLocation == null) {
                //Overcrowding
                setDead();
            }
        }      
    }","This is what the grass does most of the time: it absorbs water.
In the process, it might reproduce (only in the day time) or
die of wilting, old age or overcrowding.
@param newGrass A list to return newly born grass patches.",Grass.java,570.0,3
1,"protected int getAge() 
    {
        return age;
    }","Return the age for this grass.
@return The grass's age.",Grass.java,570.0,3
2,"private void incrementAge()
    {
        age++;
        if(age > MAX_AGE) {
            setDead();
        }
    }","Increase the age.
This could result in the grass's death.",Grass.java,570.0,3
3,"public void incrementThirst()
    {
        waterLevel--;
        if(waterLevel < 0) {
            setDead();
        }
    }","Make this grass more thirsty. This could result in the grass's death
due to wilting.",Grass.java,570.0,3
4,"public void incrementWaterLevel()
    {
        waterLevel ++;
    }",Increment the water level of grass.,Grass.java,570.0,3
5,"protected void reproduce(List<Organism> newGrasses)
    {
        // New grasses are born into adjacent locations.
        // Get a list of adjacent free locations.
        Field field = getField();
        List<Location> free = field.getFreeAdjacentLocations(getLocation());
        int births = breed(); 
        for(int b = 0; free.size() > 0 && b < births; b++) {
            Location loc = free.remove(0);
            Grass young = new Grass(false, field, loc);
            newGrasses.add(young);
        }
    }","Check whether or not this grass is to reproduce at this step.
New grass will be made in free adjacent locations.
@param newGrass A list to return newly born grass.",Grass.java,570.0,3
6,"private int breed() 
    {
        int births = 0; 
        if (canBreed()) {
            births = rand.nextInt(MAX_LITTER_SIZE) + 1; 
        }
        return births;
    }","Generate a number representing the number of births,
if it can breed.
@return The number of births (may be zero).",Grass.java,570.0,3
7,"private boolean canBreed()
    {
        return age >= REPRODUCE_AGE && rand.nextDouble() <= REPRODUCING_PROBABILITY;
    }","A grass can breed if it has reached the breeding age.
@return true if the grass can breed, false otherwise.",Grass.java,570.0,3
0,"protected Gender getGender() 
    {
        return gender;
    }","Return the gender for this animal .
@return The animal's gender.",Animal.java,570.0,3
1,"private void setGender(Gender newGender) 
    {
        this.gender = newGender;  
    }","Give this animal a new gender.
@param newGender The animal's new gender.",Animal.java,570.0,3
2,"private Gender randomGender() 
    {      
        Gender [] choice = Gender.values();
        int randomNumber = rand.nextInt(choice.length);
        return choice[randomNumber];
    }","Generate a random gender (either male or female) for this animal.
@return Either female or male",Animal.java,570.0,3
