func_code_string,label,query,text
"public static int toInteger(final Boolean bool, final int trueValue, final int falseValue, final int nullValue) {
        if (bool == null) {
            return nullValue;
        }
        return bool.booleanValue() ? trueValue : falseValue;
    }",0,convert int to bool,"convert int to bool<CODESPLIT>public static int toInteger(final Boolean bool, final int trueValue, final int falseValue, final int nullValue) {         if (bool == null) {             return nullValue;         }         return bool.booleanValue() ? trueValue : falseValue;     }"
"private void readPropertiesFiles() {

        if (this.messageFileWildcard.isEmpty() || !CoreParameters.LOG_RESOLUTION.get()) {
            // Skip configuration loading
            LOGGER.info(JRebirthMarkers.MESSAGE, ""Messages Loading is skipped"");

        } else {
            // Assemble the regex pattern
            final Pattern filePattern = Pattern.compile(this.messageFileWildcard + ""\\.properties"");

            // Retrieve all resources from default classpath
            final Collection<String> list = ClasspathUtility.getClasspathResources(filePattern);

            LOGGER.info(JRebirthMarkers.MESSAGE, ""{} Messages file{} found."", list.size(), list.size() > 1 ? ""s"" : """");

            for (final String rbFilename : list) {
                readPropertiesFile(rbFilename);
            }
        }
    }",1,read properties file,"read properties file<CODESPLIT>private void readPropertiesFiles() {          if (this.messageFileWildcard.isEmpty() || !CoreParameters.LOG_RESOLUTION.get()) {             // Skip configuration loading             LOGGER.info(JRebirthMarkers.MESSAGE, ""Messages Loading is skipped"");          } else {             // Assemble the regex pattern             final Pattern filePattern = Pattern.compile(this.messageFileWildcard + ""\\.properties"");              // Retrieve all resources from default classpath             final Collection<String> list = ClasspathUtility.getClasspathResources(filePattern);              LOGGER.info(JRebirthMarkers.MESSAGE, ""{} Messages file{} found."", list.size(), list.size() > 1 ? ""s"" : """");              for (final String rbFilename : list) {                 readPropertiesFile(rbFilename);             }         }     }"
"@SuppressWarnings(""unchecked"")
    public final T[] filter(final T[] objects) {
        final Collection<T> filtered = filter(Arrays.asList(objects));
        try {
            return filtered.toArray((T[]) Array.newInstance(objects
                    .getClass(), filtered.size()));
        } catch (ArrayStoreException ase) {
            Logger log = LoggerFactory.getLogger(Filter.class);
            log.warn(""Error converting to array - using default approach"", ase);
        }
        return (T[]) filtered.toArray();
    }",2,filter array,"filter array<CODESPLIT>@SuppressWarnings(""unchecked"")     public final T[] filter(final T[] objects) {         final Collection<T> filtered = filter(Arrays.asList(objects));         try {             return filtered.toArray((T[]) Array.newInstance(objects                     .getClass(), filtered.size()));         } catch (ArrayStoreException ase) {             Logger log = LoggerFactory.getLogger(Filter.class);             log.warn(""Error converting to array - using default approach"", ase);         }         return (T[]) filtered.toArray();     }"
"public static ConfusionMatrix createCumulativeMatrix(ConfusionMatrix... matrices)
    {
        ConfusionMatrix result = new ConfusionMatrix();

        for (ConfusionMatrix matrix : matrices) {
            for (Map.Entry<String, Map<String, Integer>> gold : matrix.map.entrySet()) {
                for (Map.Entry<String, Integer> actual : gold.getValue().entrySet()) {
                    result.increaseValue(gold.getKey(), actual.getKey(), actual.getValue());
                }
            }
        }

        return result;
    }",3,confusion matrix,"confusion matrix<CODESPLIT>public static ConfusionMatrix createCumulativeMatrix(ConfusionMatrix... matrices)     {         ConfusionMatrix result = new ConfusionMatrix();          for (ConfusionMatrix matrix : matrices) {             for (Map.Entry<String, Map<String, Integer>> gold : matrix.map.entrySet()) {                 for (Map.Entry<String, Integer> actual : gold.getValue().entrySet()) {                     result.increaseValue(gold.getKey(), actual.getKey(), actual.getValue());                 }             }         }          return result;     }"
"public static String replace(final String string, final String find, final String replacement) {
		int pos = string.indexOf(find);
		//System.out.println(string+"": ""+find+"" at ""+pos);
		if (pos == -1) return string;
		StringBuilder SB = new StringBuilder();
		int lastpos = 0;
		final int findLen = find.length();
		do {
			SB.append(string, lastpos, pos).append(replacement);
			lastpos = pos + findLen;
			pos = string.indexOf(find, lastpos);
		} while (pos != -1);
		int len = string.length();
		if(lastpos<len) SB.append(string, lastpos, len);
		return SB.toString();
	}",0,find int in string,"find int in string<CODESPLIT>public static String replace(final String string, final String find, final String replacement) { 		int pos = string.indexOf(find); 		//System.out.println(string+"": ""+find+"" at ""+pos); 		if (pos == -1) return string; 		StringBuilder SB = new StringBuilder(); 		int lastpos = 0; 		final int findLen = find.length(); 		do { 			SB.append(string, lastpos, pos).append(replacement); 			lastpos = pos + findLen; 			pos = string.indexOf(find, lastpos); 		} while (pos != -1); 		int len = string.length(); 		if(lastpos<len) SB.append(string, lastpos, len); 		return SB.toString(); 	}"
"public List<Permutation> all() {
        final List<Permutation> permutations = new ArrayList<Permutation>();
        Backtracker counter = new Backtracker() {

            @Override
            public void applyTo(Permutation p) {
                permutations.add(p);
            }

            @Override
            public boolean isFinished() {
                return false;
            }
        };
        this.apply(counter);
        return permutations;
    }",1,all permutations of a list,all permutations of a list<CODESPLIT>public List<Permutation> all() {         final List<Permutation> permutations = new ArrayList<Permutation>();         Backtracker counter = new Backtracker() {              @Override             public void applyTo(Permutation p) {                 permutations.add(p);             }              @Override             public boolean isFinished() {                 return false;             }         };         this.apply(counter);         return permutations;     }
"public static IntStreamEx of(Random random, int randomNumberOrigin, int randomNumberBound) {
        return seq(random.ints(randomNumberOrigin, randomNumberBound));
    }",2,how to randomly pick a number,"how to randomly pick a number<CODESPLIT>public static IntStreamEx of(Random random, int randomNumberOrigin, int randomNumberBound) {         return seq(random.ints(randomNumberOrigin, randomNumberBound));     }"
"public static String reverseString(String str) {
        StringBuilder stringBuffer = new StringBuilder(str);
        return stringBuffer.reverse().toString();
    }",3,how to reverse a string,how to reverse a string<CODESPLIT>public static String reverseString(String str) {         StringBuilder stringBuffer = new StringBuilder(str);         return stringBuffer.reverse().toString();     }
"public void setUnacceptable(E element) {

    Ranking ranking = this.map.get(element);
    if (ranking == null) {
      ranking = new Ranking();
      this.map.put(element, ranking);
    }
    ranking.setUnacceptable();
  }",0,fuzzy match ranking,"fuzzy match ranking<CODESPLIT>public void setUnacceptable(E element) {      Ranking ranking = this.map.get(element);     if (ranking == null) {       ranking = new Ranking();       this.map.put(element, ranking);     }     ranking.setUnacceptable();   }"
"synchronized int size( int priority) {
    if (priority < 0 || priority >= LEVEL) {
      throw new IllegalArgumentException(""Unsupported priority: "" + priority);
    }
    return priorityQueues.get(priority).size();
  }",1,priority queue,"priority queue<CODESPLIT>synchronized int size( int priority) {     if (priority < 0 || priority >= LEVEL) {       throw new IllegalArgumentException(""Unsupported priority: "" + priority);     }     return priorityQueues.get(priority).size();   }"
"static
	public double probability(ContinuousDistribution distribution, Number x){

		if(distribution instanceof GaussianDistribution){
			return probability((GaussianDistribution)distribution, x);
		} else

		if(distribution instanceof PoissonDistribution){
			return probability((PoissonDistribution)distribution, x);
		}

		throw new UnsupportedElementException(distribution);
	}",2,normal distribution,"normal distribution<CODESPLIT>static 	public double probability(ContinuousDistribution distribution, Number x){  		if(distribution instanceof GaussianDistribution){ 			return probability((GaussianDistribution)distribution, x); 		} else  		if(distribution instanceof PoissonDistribution){ 			return probability((PoissonDistribution)distribution, x); 		}  		throw new UnsupportedElementException(distribution); 	}"
"private Properties readPropertyFile(String file) throws IOException {
        String fileName = file.startsWith(""/"") ? file : ""/"" + file;
        LOGGER.info(""Reading properties from: "" + fileName + "". Will try classpath, then file system."");
        return Util.readProperties(fileName);
    }",3,read properties file,"read properties file<CODESPLIT>private Properties readPropertyFile(String file) throws IOException {         String fileName = file.startsWith(""/"") ? file : ""/"" + file;         LOGGER.info(""Reading properties from: "" + fileName + "". Will try classpath, then file system."");         return Util.readProperties(fileName);     }"
"public List<E> getBetterOrEqual(int threshold) {

    List<E> bests = new ArrayList<>();
    for (E element : this.map.keySet()) {
      Ranking ranking = this.map.get(element);
      if ((ranking != null) && (ranking.rank >= threshold)) {
        bests.add(element);
      }
    }
    return bests;
  }",0,fuzzy match ranking,fuzzy match ranking<CODESPLIT>public List<E> getBetterOrEqual(int threshold) {      List<E> bests = new ArrayList<>();     for (E element : this.map.keySet()) {       Ranking ranking = this.map.get(element);       if ((ranking != null) && (ranking.rank >= threshold)) {         bests.add(element);       }     }     return bests;   }
"public void setWorkingDirectory(Path dir) throws IOException {
    ensureState(JobState.DEFINE);
    conf.setWorkingDirectory(dir);
  }",1,set working directory,set working directory<CODESPLIT>public void setWorkingDirectory(Path dir) throws IOException {     ensureState(JobState.DEFINE);     conf.setWorkingDirectory(dir);   }
"public static double similarLevenshtein(String s1, String s2) {
        if (s1.equals(s2)) {
            return 1.0;
        }

        // Make sure s1 is the longest string
        if (s1.length() < s2.length()) {
            String swap = s1;
            s1 = s2;
            s2 = swap;
        }

        int bigLength = s1.length();
        return (bigLength - StringUtils.getLevenshteinDistance(s2, s1)) / (double) bigLength;
    }",2,string similarity levenshtein,"string similarity levenshtein<CODESPLIT>public static double similarLevenshtein(String s1, String s2) {         if (s1.equals(s2)) {             return 1.0;         }          // Make sure s1 is the longest string         if (s1.length() < s2.length()) {             String swap = s1;             s1 = s2;             s2 = swap;         }          int bigLength = s1.length();         return (bigLength - StringUtils.getLevenshteinDistance(s2, s1)) / (double) bigLength;     }"
"public void copySingleFile(File asset) {
        try {
            if ( !asset.isDirectory() ) {
                String targetPath = config.getDestinationFolder().getCanonicalPath() + File.separatorChar + assetSubPath(asset);
                LOGGER.info(""Copying single asset file to [{}]"", targetPath);
                copyFile(asset, new File(targetPath));
            } else {
                LOGGER.info(""Skip copying single asset file [{}]. Is a directory."", asset.getPath());
            }
        } catch (IOException io) {
            LOGGER.error(""Failed to copy the asset file."", io);
        }
    }",3,copying a file to a path,"copying a file to a path<CODESPLIT>public void copySingleFile(File asset) {         try {             if ( !asset.isDirectory() ) {                 String targetPath = config.getDestinationFolder().getCanonicalPath() + File.separatorChar + assetSubPath(asset);                 LOGGER.info(""Copying single asset file to [{}]"", targetPath);                 copyFile(asset, new File(targetPath));             } else {                 LOGGER.info(""Skip copying single asset file [{}]. Is a directory."", asset.getPath());             }         } catch (IOException io) {             LOGGER.error(""Failed to copy the asset file."", io);         }     }"
"private boolean readCMAP(FontFileReader in) throws IOException {

        unicodeMapping = new java.util.ArrayList();

        //Read CMAP table and correct mtxTab.index
        int mtxPtr = 0;

        seekTab(in, ""cmap"", 2);
        int numCMap = in.readTTFUShort();    // Number of cmap subtables
        long cmapUniOffset = 0;

        log.info(numCMap + "" cmap tables"");

        //Read offset for all tables. We are only interested in the unicode table
        for (int i = 0; i < numCMap; i++) {
            int cmapPID = in.readTTFUShort();
            int cmapEID = in.readTTFUShort();
            long cmapOffset = in.readTTFULong();

            log.debug(""Platform ID: "" + cmapPID + "" Encoding: "" + cmapEID);

            if (cmapPID == 3 && cmapEID == 1) {
                cmapUniOffset = cmapOffset;
            }
        }

        if (cmapUniOffset <= 0) {
            log.fatal(""Unicode cmap table not present"");
            log.fatal(""Unsupported format: Aborting"");
            return false;
        }

        // Read unicode cmap
        seekTab(in, ""cmap"", cmapUniOffset);
        int cmapFormat = in.readTTFUShort();
        /*int cmap_length =*/ in.readTTFUShort(); //skip cmap length

        log.info(""CMAP format: "" + cmapFormat);

        if (cmapFormat == 4) {
            in.skip(2);    // Skip version number
            int cmapSegCountX2 = in.readTTFUShort();
            int cmapSearchRange = in.readTTFUShort();
            int cmapEntrySelector = in.readTTFUShort();
            int cmapRangeShift = in.readTTFUShort();

            if (log.isDebugEnabled()) {
                log.debug(""segCountX2   : "" + cmapSegCountX2);
                log.debug(""searchRange  : "" + cmapSearchRange);
                log.debug(""entrySelector: "" + cmapEntrySelector);
                log.debug(""rangeShift   : "" + cmapRangeShift);
            }


            int[] cmapEndCounts = new int[cmapSegCountX2 / 2];
            int[] cmapStartCounts = new int[cmapSegCountX2 / 2];
            int[] cmapDeltas = new int[cmapSegCountX2 / 2];
            int[] cmapRangeOffsets = new int[cmapSegCountX2 / 2];

            for (int i = 0; i < (cmapSegCountX2 / 2); i++) {
                cmapEndCounts[i] = in.readTTFUShort();
            }

            in.skip(2);    // Skip reservedPad

            for (int i = 0; i < (cmapSegCountX2 / 2); i++) {
                cmapStartCounts[i] = in.readTTFUShort();
            }

            for (int i = 0; i < (cmapSegCountX2 / 2); i++) {
                cmapDeltas[i] = in.readTTFShort();
            }

            //int startRangeOffset = in.getCurrentPos();

            for (int i = 0; i < (cmapSegCountX2 / 2); i++) {
                cmapRangeOffsets[i] = in.readTTFUShort();
            }

            int glyphIdArrayOffset = in.getCurrentPos();

            // Insert the unicode id for the glyphs in mtxTab
            // and fill in the cmaps ArrayList

            for (int i = 0; i < cmapStartCounts.length; i++) {

                if (log.isTraceEnabled()) {
                    log.trace(i + "": "" + cmapStartCounts[i]
                                                         + "" - "" + cmapEndCounts[i]);
                }

                for (int j = cmapStartCounts[i]; j <= cmapEndCounts[i]; j++) {

                    // Update lastChar
                    if (j < 256 && j > lastChar) {
                        lastChar = (short)j;
                    }

                    if (mtxPtr < mtxTab.length) {
                        int glyphIdx;
                        // the last character 65535 = .notdef
                        // may have a range offset
                        if (cmapRangeOffsets[i] != 0 && j != 65535) {
                            int glyphOffset = glyphIdArrayOffset
                                + ((cmapRangeOffsets[i] / 2)
                                    + (j - cmapStartCounts[i])
                                    + (i)
                                    - cmapSegCountX2 / 2) * 2;
                            in.seekSet(glyphOffset);
                            glyphIdx = (in.readTTFUShort() + cmapDeltas[i])
                                       & 0xffff;

                            unicodeMapping.add(new UnicodeMapping(glyphIdx, j));
                            mtxTab[glyphIdx].getUnicodeIndex().add(new Integer(j));


                            // Also add winAnsiWidth
                            List v = (List)ansiIndex.get(new Integer(j));
                            if (v != null) {
                                Iterator e = v.listIterator();
                                while (e.hasNext()) {
                                    Integer aIdx = (Integer)e.next();
                                    ansiWidth[aIdx.intValue()] 
                                        = mtxTab[glyphIdx].getWx();

                                    if (log.isTraceEnabled()) {
                                        log.trace(""Added width ""
                                                + mtxTab[glyphIdx].getWx()
                                                + "" uni: "" + j
                                                + "" ansi: "" + aIdx.intValue());
                                    }
                                }
                            }

                            if (log.isTraceEnabled()) {
                                log.trace(""Idx: ""
                                        + glyphIdx
                                        + "" Delta: "" + cmapDeltas[i]
                                        + "" Unicode: "" + j
                                        + "" name: "" + mtxTab[glyphIdx].getName());
                            }
                        } else {
                            glyphIdx = (j + cmapDeltas[i]) & 0xffff;

                            if (glyphIdx < mtxTab.length) {
                                mtxTab[glyphIdx].getUnicodeIndex().add(new Integer(j));
                            } else {
                                log.debug(""Glyph "" + glyphIdx
                                                   + "" out of range: ""
                                                   + mtxTab.length);
                            }

                            unicodeMapping.add(new UnicodeMapping(glyphIdx, j));
                            if (glyphIdx < mtxTab.length) {
                                mtxTab[glyphIdx].getUnicodeIndex().add(new Integer(j));
                            } else {
                                log.debug(""Glyph "" + glyphIdx
                                                   + "" out of range: ""
                                                   + mtxTab.length);
                            }

                            // Also add winAnsiWidth
                            List v = (List)ansiIndex.get(new Integer(j));
                            if (v != null) {
                                Iterator e = v.listIterator();
                                while (e.hasNext()) {
                                    Integer aIdx = (Integer)e.next();
                                    ansiWidth[aIdx.intValue()] = mtxTab[glyphIdx].getWx();
                                }
                            }

                            //getLogger().debug(""IIdx: "" +
                            //    mtxPtr +
                            //    "" Delta: "" + cmap_deltas[i] +
                            //    "" Unicode: "" + j +
                            //    "" name: "" +
                            //    mtxTab[(j+cmap_deltas[i]) & 0xffff].name);

                        }
                        if (glyphIdx < mtxTab.length) {
                            if (mtxTab[glyphIdx].getUnicodeIndex().size() < 2) {
                                mtxPtr++;
                            }
                        }
                    }
                }
            }
        }
        return true;
    }",0,how to read .csv file in an efficient way?,"how to read .csv file in an efficient way?<CODESPLIT>private boolean readCMAP(FontFileReader in) throws IOException {          unicodeMapping = new java.util.ArrayList();          //Read CMAP table and correct mtxTab.index         int mtxPtr = 0;          seekTab(in, ""cmap"", 2);         int numCMap = in.readTTFUShort();    // Number of cmap subtables         long cmapUniOffset = 0;          log.info(numCMap + "" cmap tables"");          //Read offset for all tables. We are only interested in the unicode table         for (int i = 0; i < numCMap; i++) {             int cmapPID = in.readTTFUShort();             int cmapEID = in.readTTFUShort();             long cmapOffset = in.readTTFULong();              log.debug(""Platform ID: "" + cmapPID + "" Encoding: "" + cmapEID);              if (cmapPID == 3 && cmapEID == 1) {                 cmapUniOffset = cmapOffset;             }         }          if (cmapUniOffset <= 0) {             log.fatal(""Unicode cmap table not present"");             log.fatal(""Unsupported format: Aborting"");             return false;         }          // Read unicode cmap         seekTab(in, ""cmap"", cmapUniOffset);         int cmapFormat = in.readTTFUShort();         /*int cmap_length =*/ in.readTTFUShort(); //skip cmap length          log.info(""CMAP format: "" + cmapFormat);          if (cmapFormat == 4) {             in.skip(2);    // Skip version number             int cmapSegCountX2 = in.readTTFUShort();             int cmapSearchRange = in.readTTFUShort();             int cmapEntrySelector = in.readTTFUShort();             int cmapRangeShift = in.readTTFUShort();              if (log.isDebugEnabled()) {                 log.debug(""segCountX2   : "" + cmapSegCountX2);                 log.debug(""searchRange  : "" + cmapSearchRange);                 log.debug(""entrySelector: "" + cmapEntrySelector);                 log.debug(""rangeShift   : "" + cmapRangeShift);             }               int[] cmapEndCounts = new int[cmapSegCountX2 / 2];             int[] cmapStartCounts = new int[cmapSegCountX2 / 2];             int[] cmapDeltas = new int[cmapSegCountX2 / 2];             int[] cmapRangeOffsets = new int[cmapSegCountX2 / 2];              for (int i = 0; i < (cmapSegCountX2 / 2); i++) {                 cmapEndCounts[i] = in.readTTFUShort();             }              in.skip(2);    // Skip reservedPad              for (int i = 0; i < (cmapSegCountX2 / 2); i++) {                 cmapStartCounts[i] = in.readTTFUShort();             }              for (int i = 0; i < (cmapSegCountX2 / 2); i++) {                 cmapDeltas[i] = in.readTTFShort();             }              //int startRangeOffset = in.getCurrentPos();              for (int i = 0; i < (cmapSegCountX2 / 2); i++) {                 cmapRangeOffsets[i] = in.readTTFUShort();             }              int glyphIdArrayOffset = in.getCurrentPos();              // Insert the unicode id for the glyphs in mtxTab             // and fill in the cmaps ArrayList              for (int i = 0; i < cmapStartCounts.length; i++) {                  if (log.isTraceEnabled()) {                     log.trace(i + "": "" + cmapStartCounts[i]                                                          + "" - "" + cmapEndCounts[i]);                 }                  for (int j = cmapStartCounts[i]; j <= cmapEndCounts[i]; j++) {                      // Update lastChar                     if (j < 256 && j > lastChar) {                         lastChar = (short)j;                     }                      if (mtxPtr < mtxTab.length) {                         int glyphIdx;                         // the last character 65535 = .notdef                         // may have a range offset                         if (cmapRangeOffsets[i] != 0 && j != 65535) {                             int glyphOffset = glyphIdArrayOffset                                 + ((cmapRangeOffsets[i] / 2)                                     + (j - cmapStartCounts[i])                                     + (i)                                     - cmapSegCountX2 / 2) * 2;                             in.seekSet(glyphOffset);                             glyphIdx = (in.readTTFUShort() + cmapDeltas[i])                                        & 0xffff;                              unicodeMapping.add(new UnicodeMapping(glyphIdx, j));                             mtxTab[glyphIdx].getUnicodeIndex().add(new Integer(j));                               // Also add winAnsiWidth                             List v = (List)ansiIndex.get(new Integer(j));                             if (v != null) {                                 Iterator e = v.listIterator();                                 while (e.hasNext()) {                                     Integer aIdx = (Integer)e.next();                                     ansiWidth[aIdx.intValue()]                                          = mtxTab[glyphIdx].getWx();                                      if (log.isTraceEnabled()) {                                         log.trace(""Added width ""                                                 + mtxTab[glyphIdx].getWx()                                                 + "" uni: "" + j                                                 + "" ansi: "" + aIdx.intValue());                                     }                                 }                             }                              if (log.isTraceEnabled()) {                                 log.trace(""Idx: ""                                         + glyphIdx                                         + "" Delta: "" + cmapDeltas[i]                                         + "" Unicode: "" + j                                         + "" name: "" + mtxTab[glyphIdx].getName());                             }                         } else {                             glyphIdx = (j + cmapDeltas[i]) & 0xffff;                              if (glyphIdx < mtxTab.length) {                                 mtxTab[glyphIdx].getUnicodeIndex().add(new Integer(j));                             } else {                                 log.debug(""Glyph "" + glyphIdx                                                    + "" out of range: ""                                                    + mtxTab.length);                             }                              unicodeMapping.add(new UnicodeMapping(glyphIdx, j));                             if (glyphIdx < mtxTab.length) {                                 mtxTab[glyphIdx].getUnicodeIndex().add(new Integer(j));                             } else {                                 log.debug(""Glyph "" + glyphIdx                                                    + "" out of range: ""                                                    + mtxTab.length);                             }                              // Also add winAnsiWidth                             List v = (List)ansiIndex.get(new Integer(j));                             if (v != null) {                                 Iterator e = v.listIterator();                                 while (e.hasNext()) {                                     Integer aIdx = (Integer)e.next();                                     ansiWidth[aIdx.intValue()] = mtxTab[glyphIdx].getWx();                                 }                             }                              //getLogger().debug(""IIdx: "" +                             //    mtxPtr +                             //    "" Delta: "" + cmap_deltas[i] +                             //    "" Unicode: "" + j +                             //    "" name: "" +                             //    mtxTab[(j+cmap_deltas[i]) & 0xffff].name);                          }                         if (glyphIdx < mtxTab.length) {                             if (mtxTab[glyphIdx].getUnicodeIndex().size() < 2) {                                 mtxPtr++;                             }                         }                     }                 }             }         }         return true;     }"
"public <T> List<T> randomElements(List<T> elements, int count) {
		if (elements.size() >= count) {
			return extractRandomList(elements, count);
		} else {
			List<T> randomElements = new ArrayList<T>();
			randomElements.addAll(extractRandomList(elements, count % elements.size()));
			do {
				randomElements.addAll(extractRandomList(elements, elements.size()));
			} while (randomElements.size() < count);
			return randomElements;
		}
	}",1,randomly extract x items from a list,"randomly extract x items from a list<CODESPLIT>public <T> List<T> randomElements(List<T> elements, int count) { 		if (elements.size() >= count) { 			return extractRandomList(elements, count); 		} else { 			List<T> randomElements = new ArrayList<T>(); 			randomElements.addAll(extractRandomList(elements, count % elements.size())); 			do { 				randomElements.addAll(extractRandomList(elements, elements.size())); 			} while (randomElements.size() < count); 			return randomElements; 		} 	}"
"public void addScatterPlot(String scatterID, String xAxisLabel, String yAxisLabel) throws ShanksException {
        if (!this.timeCharts.containsKey(scatterID)) {
            ScatterPlotGenerator scatter = new ScatterPlotGenerator();
            scatter.setTitle(scatterID);
            scatter.setXAxisLabel(xAxisLabel);
            scatter.setYAxisLabel(yAxisLabel);
            this.scatterPlots.put(scatterID, scatter);
        } else {
            throw new DuplicatedChartIDException(scatterID);
        }
    }",2,scatter plot,"scatter plot<CODESPLIT>public void addScatterPlot(String scatterID, String xAxisLabel, String yAxisLabel) throws ShanksException {         if (!this.timeCharts.containsKey(scatterID)) {             ScatterPlotGenerator scatter = new ScatterPlotGenerator();             scatter.setTitle(scatterID);             scatter.setXAxisLabel(xAxisLabel);             scatter.setYAxisLabel(yAxisLabel);             this.scatterPlots.put(scatterID, scatter);         } else {             throw new DuplicatedChartIDException(scatterID);         }     }"
"public static int levenshteinDistance(CharSequence s, CharSequence t)
    {
        // degenerate cases          s
        if (s == null || """".equals(s))
        {
            return t == null || """".equals(t) ? 0 : t.length();
        }
        else if (t == null || """".equals(t))
        {
            return s.length();
        }

        // create two work vectors of integer distances
        int[] v0 = new int[t.length() + 1];
        int[] v1 = new int[t.length() + 1];

        // initialize v0 (the previous row of distances)
        // this row is A[0][i]: edit distance for an empty s
        // the distance is just the number of characters to delete from t
        for (int i = 0; i < v0.length; i++)
        {
            v0[i] = i;
        }

        int sLen = s.length();
        int tLen = t.length();
        for (int i = 0; i < sLen; i++)
        {
            // calculate v1 (current row distances) from the previous row v0

            // first element of v1 is A[i+1][0]
            //   edit distance is delete (i+1) chars from s to match empty t
            v1[0] = i + 1;

            // use formula to fill in the rest of the row
            for (int j = 0; j < tLen; j++)
            {
                int cost = (s.charAt(i) == t.charAt(j)) ? 0 : 1;
                v1[j + 1] = (int) MathUtilities.minimum(v1[j] + 1, v0[j + 1] + 1, v0[j] + cost);
            }

            // copy v1 (current row) to v0 (previous row) for next iteration
            System.arraycopy(v1, 0, v0, 0, v0.length);
        }

        return v1[t.length()];
    }",3,string similarity levenshtein,"string similarity levenshtein<CODESPLIT>public static int levenshteinDistance(CharSequence s, CharSequence t)     {         // degenerate cases          s         if (s == null || """".equals(s))         {             return t == null || """".equals(t) ? 0 : t.length();         }         else if (t == null || """".equals(t))         {             return s.length();         }          // create two work vectors of integer distances         int[] v0 = new int[t.length() + 1];         int[] v1 = new int[t.length() + 1];          // initialize v0 (the previous row of distances)         // this row is A[0][i]: edit distance for an empty s         // the distance is just the number of characters to delete from t         for (int i = 0; i < v0.length; i++)         {             v0[i] = i;         }          int sLen = s.length();         int tLen = t.length();         for (int i = 0; i < sLen; i++)         {             // calculate v1 (current row distances) from the previous row v0              // first element of v1 is A[i+1][0]             //   edit distance is delete (i+1) chars from s to match empty t             v1[0] = i + 1;              // use formula to fill in the rest of the row             for (int j = 0; j < tLen; j++)             {                 int cost = (s.charAt(i) == t.charAt(j)) ? 0 : 1;                 v1[j + 1] = (int) MathUtilities.minimum(v1[j] + 1, v0[j + 1] + 1, v0[j] + cost);             }              // copy v1 (current row) to v0 (previous row) for next iteration             System.arraycopy(v1, 0, v0, 0, v0.length);         }          return v1[t.length()];     }"
"public <T> Observable<T> getAndObserve(String key, Class<T> classOfT, T defaultValue) {
    return getAndObserve(key, TypeToken.fromClass(classOfT), defaultValue);
  }",0,get current observable value,"get current observable value<CODESPLIT>public <T> Observable<T> getAndObserve(String key, Class<T> classOfT, T defaultValue) {     return getAndObserve(key, TypeToken.fromClass(classOfT), defaultValue);   }"
"private static void summarizeNBModel(ModelSummary summary, hex.nb.NBModel model) {
    // add generic fields such as column names
    summarizeModelCommonFields(summary, model);

    summary.model_algorithm = ""Naive Bayes"";

    JsonObject all_params = (model.get_params()).toJSON();
    summary.critical_parameters = whitelistJsonObject(all_params, NB_critical_params);
    summary.secondary_parameters = whitelistJsonObject(all_params, NB_secondary_params);
    summary.expert_parameters = whitelistJsonObject(all_params, NB_expert_params);
  }",1,print model summary,"print model summary<CODESPLIT>private static void summarizeNBModel(ModelSummary summary, hex.nb.NBModel model) {     // add generic fields such as column names     summarizeModelCommonFields(summary, model);      summary.model_algorithm = ""Naive Bayes"";      JsonObject all_params = (model.get_params()).toJSON();     summary.critical_parameters = whitelistJsonObject(all_params, NB_critical_params);     summary.secondary_parameters = whitelistJsonObject(all_params, NB_secondary_params);     summary.expert_parameters = whitelistJsonObject(all_params, NB_expert_params);   }"
"public static Properties readPropertiesFromFile(String _fileName, Properties _props) {
        Properties props = _props == null ? new Properties() : _props;

        LOGGER.debug(""Trying to read properties from file: "" + _fileName);
        Properties newProperties = readProperties(new File(_fileName));
        if (newProperties != null) {
            LOGGER.debug(""Successfully read properties from file: "" + _fileName);
            props.putAll(newProperties);
        }

        return props;
    }",2,read properties file,"read properties file<CODESPLIT>public static Properties readPropertiesFromFile(String _fileName, Properties _props) {         Properties props = _props == null ? new Properties() : _props;          LOGGER.debug(""Trying to read properties from file: "" + _fileName);         Properties newProperties = readProperties(new File(_fileName));         if (newProperties != null) {             LOGGER.debug(""Successfully read properties from file: "" + _fileName);             props.putAll(newProperties);         }          return props;     }"
"public static void zipCompress(String filename) throws IOException {
    FileOutputStream fos = new FileOutputStream(filename + COMPRESSION_SUFFIX);
    CheckedOutputStream csum = new CheckedOutputStream(fos, new CRC32());
    ZipOutputStream out = new ZipOutputStream(new BufferedOutputStream(csum));
    out.setComment(""Failmon records."");

    BufferedReader in = new BufferedReader(new FileReader(filename));
    out.putNextEntry(new ZipEntry(new File(filename).getName()));
    int c;
    while ((c = in.read()) != -1)
      out.write(c);
    in.close();

    out.finish();
    out.close();
  }",3,how to read the contents of a .gz compressed file?,"how to read the contents of a .gz compressed file?<CODESPLIT>public static void zipCompress(String filename) throws IOException {     FileOutputStream fos = new FileOutputStream(filename + COMPRESSION_SUFFIX);     CheckedOutputStream csum = new CheckedOutputStream(fos, new CRC32());     ZipOutputStream out = new ZipOutputStream(new BufferedOutputStream(csum));     out.setComment(""Failmon records."");      BufferedReader in = new BufferedReader(new FileReader(filename));     out.putNextEntry(new ZipEntry(new File(filename).getName()));     int c;     while ((c = in.read()) != -1)       out.write(c);     in.close();      out.finish();     out.close();   }"
